id,title,description,publishTime,viewCount,likeCount,commentCount
igVcy5dtN80,Grilling A Microwave Microwaving A Microwave Microwaving A Toaster Toasting An Iphone Watching Micro,Grilling A Microwave Microwaving A Microwave Microwaving A Toaster Toasting An Iphone Watching Microwaving a Microwave ...,2017-03-30 22:10:41+00:00,1794201,63491,5073.0
VqnQ-0q2gb4,Destroyed Friend&#39;s House And Bought Him A New One,YOU WON'T BELIEVE HOW MY FRIEND REACTED TO HER HOUSE! Join Honey for FREE at ...,2018-11-24 21:06:01+00:00,38216023,999159,70328.0
63gyUQ_JeOE,Toothpaste Life Hacks YOU SHOULD KNOW,I CAN'T BELIEVE IT WORKED HOLY CRAP SUBSCRIBE FOR A FREE CAR CLICK HERE TO BUY GIANT ASIANT STICKER ...,2017-06-13 22:30:01+00:00,19545390,504008,16143.0
7zi0bi-RDj4,"Eating A $10,000 Golden Steak (24k Gold)",YOU WON'T BELIEVE WHAT THIS GOLDEN STEAK TASTED LIKE! BEAST APPAREL - https://shopmrbeast.com/ Four people ...,2019-01-11 22:05:00+00:00,94404369,1653943,89537.0
xRwy_rKc7gI,World&#39;s Largest Bowl Of Cereal,YOU WON'T BELIEVE HOW BIG IT WAS LOL New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG In this ...,2019-05-15 21:05:01+00:00,94153443,1851997,80207.0
AiGKBNGlzHo,I Ran A Marathon In The World&#39;s Largest Shoes,Get the best deals while you're stuck at home ▸ http://joinhoney.com/mrbeast Honey is FREE and finds coupons with the click of a ...,2020-03-21 20:00:02+00:00,63649409,1930460,61062.0
yXWw0_UfSFg,Anything You Can Fit In The Circle I’ll Pay For,Watch until the end to see how much i spent New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2020-03-07 21:00:00+00:00,144535837,3715112,108618.0
XE9pUM9MEFA,I Built A Working Car Using Only LEGOS,I CAN'T BELIEVE WE DROVE THIS ON THE HIGHWAY Subscribe for a cookie New Merch - https://shopmrbeast.com/ SONG ...,2018-06-23 21:09:58+00:00,60009956,1355373,101295.0
sirrTXiPFmw,I Bought One Snickers Bar From Every Walmart,i can't believe i did this SUBSCRIBE FOR A FREE CAR ---------------------------------------------------------------- ▻ FOLLOW BOTH ...,2018-01-13 23:15:01+00:00,40440079,1037107,73232.0
NS3hse9ezik,"Last To Leave Ramen Noodle Pool Wins $20,000","Whoever left the ramen noodles last, won $20000! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...",2019-09-13 20:00:05+00:00,42608583,1023020,43033.0
